,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
39,       4336;19510209;-999;-999;-999;    5;   6.9;   1;-999;   0;   7.0;   8.0;    -999;    6.0;   84.00;    9.3;    3.7;    4.5;eor
40,       4336;19510210;-999;-999;-999;    5;   0.4;   1;-999;   0;   3.3;   7.3;    -999;    4.0;   89.00;    7.5;    1.6;    2.7;eor
41,       4336;19510211;-999;-999;-999;    5;   0.6;   1;-999;   0;   8.0;   7.5;    -999;    4.4;   90.00;    5.0;    2.2;    2.2;eor
42,       4336;19510212;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   7.5;    -999;    4.9;   85.00;    9.2;    1.6;    0.6;eor
43,       4336;19510213;-999;-999;-999;    5;   0.2;   1;-999;   0;   7.3;   7.2;    -999;    4.2;   88.00;    6.5;    0.7;    0.8;eor
44,       4336;19510214;-999;-999;-999;    5;   0.5;   1;-999;   0;   6.0;   6.9;    -999;    3.7;   85.00;    6.9;    2.2;    2.9;eor
45,       4336;19510215;-999;-999;-999;    5;   0.0;   0;-999;   0;   7.0;   6.4;    -999;    3.0;   83.00;    4.3;    1.4;    0.4;eor
46,       4336;19510216;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;   5.7;    -999;    2.4;   78.00;    6.9;   -2.4;   -3.9;eor
47,       4336;19510217;-999;-999;-999;    5;  11.8;   1;-999;   0;   8.0;   7.9;    -999;    5.5;   89.00;    7.0;    0.0;   -0.9;eor
48,       4336;19510218;-999;-999;-999;    5;   1.4;   1;-999;   0;   3.0;   5.5;    -999;    3.4;   69.00;    7.2;    0.9;    1.2;eor
49,       4336;19510219;-999;-999;-999;    5;   8.3;   1;-999;   0;   6.3;   6.5;    -999;    2.2;   89.00;    4.6;    1.0;    0.4;eor
50,       4336;19510220;-999;-999;-999;    5;   7.8;   1;-999;   0;   5.3;   6.9;    -999;    6.0;   78.00;    8.2;    0.8;    0.4;eor
51,       4336;19510221;-999;-999;-999;    5;   3.4;   8;-999;   0;   7.0;   6.0;    -999;    2.6;   80.00;    8.0;    0.1;    1.4;eor
52,       4336;19510222;-999;-999;-999;    5;   2.5;   8;-999;   0;   7.7;   6.3;    -999;    1.6;   91.00;    5.4;   -0.3;    0.4;eor
53,       4336;19510223;-999;-999;-999;    5;   1.2;   8;-999;   0;   6.0;   6.0;    -999;    2.2;   82.00;    4.5;    0.0;    0.7;eor
54,       4336;19510224;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   5.7;    -999;    3.2;   75.00;    6.4;   -1.0;   -2.5;eor
55,       4336;19510225;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;   5.7;    -999;    1.9;   82.00;    6.1;   -1.6;   -1.7;eor
56,       4336;19510226;-999;-999;-999;    5;   1.7;   7;-999;   1;   7.3;   5.7;    -999;   -0.1;   94.00;    4.3;   -4.6;   -4.3;eor
57,       4336;19510227;-999;-999;-999;    5;   0.0;   7;-999;   2;   4.7;   5.2;    -999;    0.1;   84.00;    1.8;   -1.5;   -0.5;eor
58,       4336;19510228;-999;-999;-999;    5;   0.0;   0;-999;   1;   4.7;   4.4;    -999;   -0.4;   75.00;    1.8;   -3.0;   -3.0;eor
59,       4336;19510301;-999;-999;-999;    5;   1.4;   7;-999;   0;   7.3;   4.7;    -999;    0.0;   78.00;    1.3;   -3.5;   -3.8;eor
60,       4336;19510302;-999;-999;-999;    5;   3.3;   7;-999;   8;   8.0;   5.2;    -999;   -1.4;   95.00;    0.4;   -2.3;   -1.3;eor
61,       4336;19510303;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   4.3;    -999;   -2.8;   84.00;   -0.5;   -6.7;   -7.3;eor
62,       4336;19510304;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.3;   4.3;    -999;   -2.0;   80.00;    1.2;   -6.3;   -5.3;eor
63,       4336;19510305;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   4.8;    -999;    1.4;   73.00;    6.0;   -5.3;   -6.9;eor
64,       4336;19510306;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   4.7;    -999;    2.8;   66.00;    8.9;   -4.5;   -5.4;eor
