date,temp,wind,cloud
2017-12-31,11.566666666666668,8.966666666666667,0.9541666666666666
2018-01-01,6.3,8.666666666666666,0.9166666666666666
2018-01-02,5.233333333333333,6.3,0.8958333333333334
2018-01-03,7.633333333333333,10.4,0.8875000000000001
2018-01-04,8.166666666666666,7.066666666666666,0.9041666666666667
2018-01-05,7.933333333333334,5.866666666666667,0.875
2018-01-06,6.066666666666666,2.966666666666667,0.9333333333333332
2018-01-07,3.9333333333333336,6.666666666666667,0.9625
2018-01-08,4.2,6.0,0.9083333333333333
2018-01-09,5.2,3.8333333333333335,0.8875000000000001
2018-01-10,6.666666666666667,3.8000000000000003,0.9541666666666666
2018-01-11,6.133333333333333,1.5,0.9166666666666666
2018-01-12,4.766666666666667,1.8999999999999997,0.8916666666666666
2018-01-13,3.8666666666666667,3.633333333333333,0.8208333333333333
2018-01-14,2.1,4.0,0.2625
2018-01-15,3.5666666666666664,6.833333333333333,0.8624999999999999
2018-01-16,4.833333333333333,7.333333333333333,0.8125
2018-01-17,2.533333333333333,7.5,0.7791666666666668
2018-01-18,5.333333333333333,8.266666666666667,0.8083333333333332
2018-01-19,2.9666666666666663,5.1000000000000005,0.7958333333333334
2018-01-20,1.7,3.633333333333333,0.9625
2018-01-21,2.266666666666667,3.1666666666666665,0.8083333333333332
2018-01-22,5.666666666666667,3.366666666666667,0.9625
2018-01-23,6.733333333333333,4.8999999999999995,0.9666666666666667
2018-01-24,9.966666666666667,7.1000000000000005,0.9166666666666666
2018-01-25,8.133333333333333,4.666666666666667,0.9916666666666667
2018-01-26,5.633333333333333,1.4666666666666668,0.9583333333333334
2018-01-27,3.9,2.6333333333333333,0.8708333333333332
2018-01-28,6.166666666666667,6.433333333333334,0.9916666666666667
2018-01-29,8.166666666666666,6.833333333333333,0.9666666666666667
2018-01-30,5.8,2.533333333333333,0.7916666666666666
2018-01-31,6.433333333333333,7.7,0.9833333333333334
2018-02-01,2.2666666666666666,5.0,0.6791666666666667
2018-02-02,2.2666666666666666,4.7,0.9249999999999999
2018-02-03,2.1333333333333333,2.533333333333333,0.9333333333333332
2018-02-04,1.0999999999999999,2.8000000000000003,0.9083333333333333
2018-02-05,0.43333333333333335,5.3,0.5666666666666667
2018-02-06,0.43333333333333335,3.766666666666667,0.8416666666666667
2018-02-07,0.43333333333333335,2.433333333333333,0.5750000000000001
2018-02-08,0.43333333333333335,1.7,0.5541666666666667
2018-02-09,0.43333333333333335,3.766666666666667,0.8666666666666667
2018-02-10,0.7666666666666667,4.0,0.9625
2018-02-11,1.8666666666666665,6.233333333333333,0.8958333333333334
2018-02-12,0.7000000000000001,4.4,0.5750000000000001
2018-02-13,0.5333333333333333,3.7999999999999994,0.15416666666666667
2018-02-14,0.7000000000000001,4.366666666666667,0.30833333333333335
2018-02-15,2.6999999999999997,4.466666666666667,0.9500000000000001
2018-02-16,3.466666666666667,2.4333333333333336,0.5083333333333333
2018-02-17,0.8333333333333334,3.4333333333333336,0.7583333333333333
2018-02-18,1.1333333333333333,2.6333333333333333,0.3875
2018-02-19,0.7333333333333334,1.8666666666666665,0.8833333333333333
2018-02-20,0.4000000000000001,2.4000000000000004,0.5375
2018-02-21,0.7666666666666666,4.699999999999999,0.3
2018-02-22,0.26666666666666666,6.333333333333333,0.12916666666666668
2018-02-23,0.26666666666666666,5.866666666666667,0.0375
2018-02-24,0.26666666666666666,6.966666666666666,0.12083333333333333
2018-02-25,0.26666666666666666,6.533333333333334,0.19583333333333333
2018-02-26,0.26666666666666666,6.1000000000000005,0.44166666666666665
2018-02-27,0.26666666666666666,4.5,0.37083333333333335
2018-02-28,0.26666666666666666,5.966666666666666,0.29583333333333334
2018-03-01,0.26666666666666666,6.833333333333333,0.8791666666666668
2018-03-02,0.26666666666666666,5.166666666666666,0.9541666666666666
2018-03-03,0.26666666666666666,2.8333333333333335,0.9166666666666666
2018-03-04,5.0,4.1000000000000005,0.9166666666666666
2018-03-05,7.066666666666666,3.6,0.7374999999999999
2018-03-06,6.366666666666667,2.7999999999999994,0.8208333333333333
2018-03-07,4.6000000000000005,4.166666666666667,0.8333333333333334
2018-03-08,5.2,6.333333333333333,0.7708333333333334
2018-03-09,5.900000000000001,2.7999999999999994,0.8958333333333334
2018-03-10,10.733333333333334,4.2,0.875
2018-03-11,11.1,3.766666666666667,0.8916666666666666
2018-03-12,9.633333333333333,5.433333333333334,0.8541666666666666
2018-03-13,6.166666666666667,6.233333333333334,0.9458333333333333
2018-03-14,6.7,2.766666666666666,0.4166666666666667
2018-03-15,6.533333333333334,4.2,0.8416666666666667
2018-03-16,6.566666666666666,3.5666666666666664,0.8666666666666666
2018-03-17,3.9,7.033333333333334,0.975
2018-03-18,3.9,6.833333333333333,0.9500000000000001
2018-03-19,3.9,5.1000000000000005,0.6791666666666667
2018-03-20,2.966666666666667,3.7000000000000006,0.4041666666666666
2018-03-21,1.0999999999999999,2.3666666666666667,0.5041666666666667
2018-03-22,2.1,3.4333333333333336,0.9249999999999999
2018-03-23,4.466666666666666,3.1,0.9708333333333332
2018-03-24,5.833333333333333,3.3666666666666667,0.4666666666666666
2018-03-25,6.3999999999999995,2.166666666666667,0.6166666666666667
2018-03-26,6.633333333333333,1.9333333333333333,0.8291666666666666
2018-03-27,5.266666666666667,4.066666666666666,0.8791666666666668
2018-03-28,7.233333333333334,5.566666666666666,0.975
2018-03-29,5.8,4.166666666666667,0.7875
2018-03-30,7.300000000000001,4.066666666666666,0.9166666666666666
2018-03-31,7.0,2.233333333333334,0.8541666666666666
